attachment_id	project_slug	served_path	source_path	measured_w	measured_h	wp_w	wp_h	has_larger_original	aspect	orientation	hero_capable	featured_only	parent_is_zero	notes
434	grand-ole-opry-city-stage	2019/12/OPRY1.jpg	2019/12/OPRY1.jpg	1800	1200	1800	1200	no	1.500	landscape	no	no	no	
437	sugar-cane-raw-bar-and-grill	2019/12/SUGARCANE1.jpg	2019/12/SUGARCANE1.jpg	1500	1000	1500	1000	no	1.500	landscape	no	no	no	
440	boqueria-restaurant	2019/12/Featured-1-scaled.jpg	2019/12/Featured-1.jpg	3600	2403	2048	1367	yes	1.498	landscape	yes	no	no	larger_original
442	sugar-cane-raw-bar-and-grill	2019/12/Sugarcane-Featured.jpg	2019/12/Sugarcane-Featured.jpg	1200	800	1200	800	no	1.500	landscape	no	no	no	
488	mint-kitchen-restaurant	2019/12/Mint-Featured-2-scaled.jpg	2019/12/Mint-Featured-2.jpg	4536	3024	2048	1366	yes	1.500	landscape	yes	no	no	larger_original
492	kat-theo	2019/12/Kat-Theo-Featured.jpg	2019/12/Kat-Theo-Featured.jpg	2048	1121	2048	1121	no	1.827	landscape	yes	no	no	
501	vivvi-daycare-tribeca	2019/12/Vivvi-Featured-5-scaled.jpg	2019/12/Vivvi-Featured-5.jpg	4410	3307	2048	1536	yes	1.334	landscape	yes	no	no	larger_original
510	burger-lobster	2019/12/Burger-Lobster-Featured.jpg	2019/12/Burger-Lobster-Featured.jpg	1200	800	1200	800	no	1.500	landscape	no	no	no	
514	momofuku-ko	2019/12/Momofuku-Featured.jpg	2019/12/Momofuku-Featured.jpg	1500	1000	1500	1000	no	1.500	landscape	no	no	no	
521	tribeca-loft	2019/12/Tribeca-Loft-Featured-scaled.jpg	2019/12/Tribeca-Loft-Featured.jpg	3024	4032	1920	2560	yes	0.750	portrait	yes	no	no	larger_original
528	1st-ave-apt	2019/12/Murray-Hill-Featured.jpg	2019/12/Murray-Hill-Featured.jpg	1200	870	1200	870	no	1.379	landscape	no	no	no	
532	st-lukes-place-townhouse	2019/12/West-Village-Featured.jpg	2019/12/West-Village-Featured.jpg	1647	1100	1647	1100	no	1.497	landscape	no	no	no	
