old_slug	old_path	current_slug	new_path	wp_id	title	claimants	verdict	note
5th-avenue-townhouse	/residential/5th-avenue-townhouse/	12th-st-townhouse-greenwich-village	/residential/12th-st-townhouse-greenwich-village/	2504	12th st townhouse	1	301	unambiguous: one claimant, not live elsewhere
hells-kitchen-apt-2	/residential/hells-kitchen-apt-2/	1st-ave-apt	/residential/1st-ave-apt/	527	1st Ave Apartment	1	301	unambiguous: one claimant, not live elsewhere
madison-ave-duplex	/residential/madison-ave-duplex/	1st-ave-apt	/residential/1st-ave-apt/	527	1st Ave Apartment	1	301	unambiguous: one claimant, not live elsewhere
69th-st-penthouse	/residential/69th-st-penthouse/	69th-st-townhouse	/residential/69th-st-townhouse/	570	69th St Townhouse	1	301	unambiguous: one claimant, not live elsewhere
upper-west-side-townhouse-2	/residential/upper-west-side-townhouse-2/	69th-st-townhouse	/residential/69th-st-townhouse/	570	69th St Townhouse	1	301	unambiguous: one claimant, not live elsewhere
jackson-heights-townhouse-2	/residential/jackson-heights-townhouse-2/	84th-st-townhouse	/residential/84th-st-townhouse/	2396	84th st townhouse	1	301	unambiguous: one claimant, not live elsewhere
wyckoff-st-townhouse-2	/residential/wyckoff-st-townhouse-2/	84th-st-townhouse	/residential/84th-st-townhouse/	2396	84th st townhouse	1	301	unambiguous: one claimant, not live elsewhere
duane-street-penthouse-2	/residential/duane-street-penthouse-2/	duane-street-penthouse	/residential/duane-street-penthouse/	552	Duane Street Penthouse	1	301	unambiguous: one claimant, not live elsewhere
east-side-townhouse	/residential/east-side-townhouse/	e64-st-townhouse	/residential/e64-st-townhouse/	2306	e64th St Townhouse	1	301	unambiguous: one claimant, not live elsewhere
hudson-yards-mall-2	/residential/hudson-yards-mall-2/	e64-st-townhouse	/residential/e64-st-townhouse/	2306	e64th St Townhouse	1	301	unambiguous: one claimant, not live elsewhere
madison-avenue-penthouse-2	/commercial/madison-avenue-penthouse-2/	free-people-retail-store	/commercial/free-people-retail-store/	503	Free People Retail Store	1	301	unambiguous: one claimant, not live elsewhere
ground-central-coffee-company-2	/commercial/ground-central-coffee-company-2/	ground-central-coffee-company	/commercial/ground-central-coffee-company/	2384	Ground Central Coffee Company	1	301	unambiguous: one claimant, not live elsewhere
gunter-seeger-2	/commercial/gunter-seeger-2/	gunter-seeger	/commercial/gunter-seeger/	549	Gunter-Seeger	1	301	unambiguous: one claimant, not live elsewhere
my-darling-ivy-2	/commercial/my-darling-ivy-2/	gunter-seeger	/commercial/gunter-seeger/	549	Gunter-Seeger	1	301	unambiguous: one claimant, not live elsewhere
east-side-townhouse-2	/residential/east-side-townhouse-2/	horatio-st-townhouse	/residential/horatio-st-townhouse/	567	Horatio St. Townhouse	1	301	unambiguous: one claimant, not live elsewhere
hudson-street-penthouse-2	/residential/hudson-street-penthouse-2/	hudson-street-penthouse	/residential/hudson-street-penthouse/	517	Hudson Street Penthouse	1	301	unambiguous: one claimant, not live elsewhere
vivvi-daycare-hudson-yards-2	/residential/vivvi-daycare-hudson-yards-2/	hudson-street-penthouse	/residential/hudson-street-penthouse/	517	Hudson Street Penthouse	1	301	unambiguous: one claimant, not live elsewhere
mackage-soho-2	/commercial/mackage-soho-2/	mackage-soho	/commercial/mackage-soho/	1931	Mackage SoHo	1	301	unambiguous: one claimant, not live elsewhere
riverside-apt-2	/commercial/riverside-apt-2/	mackage-soho	/commercial/mackage-soho/	1931	Mackage SoHo	1	301	unambiguous: one claimant, not live elsewhere
madison-ave-duplex-penthouse	/residential/madison-ave-duplex-penthouse/	madison-ave-duplex-2	/residential/madison-ave-duplex-2/	523	Madison Ave Duplex	1	301	unambiguous: one claimant, not live elsewhere
madison-avenue-penthouse	/residential/madison-avenue-penthouse/	madison-ave-duplex-2	/residential/madison-ave-duplex-2/	523	Madison Ave Duplex	1	301	unambiguous: one claimant, not live elsewhere
warren-st-apt-2	/residential/warren-st-apt-2/	madison-ave-duplex-2	/residential/madison-ave-duplex-2/	523	Madison Ave Duplex	1	301	unambiguous: one claimant, not live elsewhere
free-people-retail-store-2	/commercial/free-people-retail-store-2/	mint-kitchen-restaurant	/commercial/mint-kitchen-restaurant/	443	Mint Kitchen Restaurant	1	301	unambiguous: one claimant, not live elsewhere
mint-kitchen-restaurant-2	/commercial/mint-kitchen-restaurant-2/	mint-kitchen-restaurant	/commercial/mint-kitchen-restaurant/	443	Mint Kitchen Restaurant	1	301	unambiguous: one claimant, not live elsewhere
5th-avenue-townhouse-2	/commercial/5th-avenue-townhouse-2/	my-darling-ivy	/commercial/my-darling-ivy/	2425	My Darling Ivy	1	301	unambiguous: one claimant, not live elsewhere
riverside-apartment	/residential/riverside-apartment/	riverside-drive-apartment	/residential/riverside-drive-apartment/	2842	Riverside Drive Apartment	1	301	unambiguous: one claimant, not live elsewhere
riverside-apt	/residential/riverside-apt/	riverside-drive-apartment	/residential/riverside-drive-apartment/	2842	Riverside Drive Apartment	1	301	unambiguous: one claimant, not live elsewhere
st-lukes-place-townhouse-2	/residential/st-lukes-place-townhouse-2/	st-lukes-place-townhouse	/residential/st-lukes-place-townhouse/	531	St. Lukes Place townhouse	1	301	unambiguous: one claimant, not live elsewhere
west-village-townhouse-2	/residential/west-village-townhouse-2/	st-lukes-place-townhouse	/residential/st-lukes-place-townhouse/	531	St. Lukes Place townhouse	1	301	unambiguous: one claimant, not live elsewhere
thompson-st-studio-2	/residential/thompson-st-studio-2/	thompson-st-studio	/residential/thompson-st-studio/	534	Thompson St. Studio	1	301	unambiguous: one claimant, not live elsewhere
upper-west-side-apartment-2	/residential/upper-west-side-apartment-2/	thompson-st-studio	/residential/thompson-st-studio/	534	Thompson St. Studio	1	301	unambiguous: one claimant, not live elsewhere
tribeca-loft-2	/residential/tribeca-loft-2/	tribeca-loft	/residential/tribeca-loft/	520	Tribeca Loft	1	301	unambiguous: one claimant, not live elsewhere
upper-east-side-townhouse-2	/commercial/upper-east-side-townhouse-2/	upper-east-side-townhouse	/commercial/upper-east-side-townhouse/	564	Washington Sq. Dermatology	1	301	unambiguous: one claimant, not live elsewhere
rock-reillys	/commercial/rock-reillys/	versa-marriott	/commercial/versa-marriott/	546	Versa at the Marriott Renaissance	1	301	unambiguous: one claimant, not live elsewhere
vivvi-daycare-2	/commercial/vivvi-daycare-2/	vivvi-daycare-hudson-yards	/commercial/vivvi-daycare-hudson-yards/	2853	Vivvi Daycare Hudson Yards	1	301	unambiguous: one claimant, not live elsewhere
motel-23-lounge-2	/commercial/motel-23-lounge-2/	vivvi-daycare-tribeca	/commercial/vivvi-daycare-tribeca/	494	ViVVI Daycare Tribeca	1	301	unambiguous: one claimant, not live elsewhere
wyckoff-st-townhouse	/residential/wyckoff-st-townhouse/	wyckoff-townhouse	/residential/wyckoff-townhouse/	2860	Wyckoff Townhouse	1	301	unambiguous: one claimant, not live elsewhere
hells-kitchen-apt	/residential/hells-kitchen-apt/	1st-ave-apt	/residential/1st-ave-apt/	527	1st Ave Apartment	2	REVIEW	claimed by 2 projects — ambiguous, pick a target by hand or leave it 404
murray-hill-apartments	/residential/murray-hill-apartments/	1st-ave-apt	/residential/1st-ave-apt/	527	1st Ave Apartment	2	REVIEW	claimed by 2 projects — ambiguous, pick a target by hand or leave it 404
hells-kitchen-apt	/residential/hells-kitchen-apt/	53rd-st-studio	/residential/53rd-st-studio/	2838	53rd st studio	2	REVIEW	claimed by 2 projects — ambiguous, pick a target by hand or leave it 404
sullivan-st-duplex	/residential/sullivan-st-duplex/	53rd-st-studio	/residential/53rd-st-studio/	2838	53rd st studio	2	REVIEW	claimed by 2 projects — ambiguous, pick a target by hand or leave it 404
upper-west-side-townhouse	/residential/upper-west-side-townhouse/	69th-st-townhouse	/residential/69th-st-townhouse/	570	69th St Townhouse	2	REVIEW	claimed by 2 projects — ambiguous, pick a target by hand or leave it 404
jackson-heights-townhouse	/residential/jackson-heights-townhouse/	84th-st-townhouse	/residential/84th-st-townhouse/	2396	84th st townhouse	2	REVIEW	claimed by 2 projects — ambiguous, pick a target by hand or leave it 404
atrium-corporate-office	/commercial/atrium-corporate-office/	autrium-corporate-office	/commercial/autrium-corporate-office/	558	Atrium Corporate Office	2	REVIEW	claimed by 2 projects — ambiguous, pick a target by hand or leave it 404
murray-hill-apartments	/commercial/murray-hill-apartments/	autrium-corporate-office	/commercial/autrium-corporate-office/	558	Atrium Corporate Office	2	REVIEW	claimed by 2 projects — ambiguous, pick a target by hand or leave it 404
upper-east-side-penthouse	/residential/upper-east-side-penthouse/	e63-st-penthouse	/residential/e63-st-penthouse/	540	e63rd st Penthouse	2	REVIEW	claimed by 2 projects — ambiguous, pick a target by hand or leave it 404
upper-east-side-penthouse__trashed	/residential/upper-east-side-penthouse__trashed/	e63-st-penthouse	/residential/e63-st-penthouse/	540	e63rd st Penthouse	1	REVIEW	WordPress trash artefact, never a public URL — 410 rather than 301
west-23rd-townhouse	/residential/west-23rd-townhouse/	e63-st-penthouse	/residential/e63-st-penthouse/	540	e63rd st Penthouse	2	REVIEW	claimed by 2 projects — ambiguous, pick a target by hand or leave it 404
atrium-corporate-office	/commercial/atrium-corporate-office/	haus-nightclub	/commercial/haus-nightclub/	2520	Haus Nightclub	2	REVIEW	claimed by 2 projects — ambiguous, pick a target by hand or leave it 404
washington-sq-dermatology	/commercial/washington-sq-dermatology/	hudson-yards-mall	/commercial/hudson-yards-mall/	2850	Hudson Yards Mall	2	REVIEW	claimed by 2 projects — ambiguous, pick a target by hand or leave it 404
