attachment_id	project_slug	project_wp_id	category	gallery_position	is_featured	featured_only	file	original_file	has_larger_original	width	height	square	alt	post_parent	parent_is_zero	mime
434	grand-ole-opry-city-stage	433	commercial	1	yes	no	2019/12/OPRY1.jpg	2019/12/OPRY1.jpg	no	1800	1200	no		433	no	
437	sugar-cane-raw-bar-and-grill	436	commercial	2	no	no	2019/12/SUGARCANE1.jpg	2019/12/SUGARCANE1.jpg	no	1500	1000	no		436	no	
440	boqueria-restaurant	439	commercial	1	yes	no	2019/12/Featured-1-scaled.jpg	2019/12/Featured-1.jpg	yes	2048	1367	no	Boqueria	439	no	
442	sugar-cane-raw-bar-and-grill	436	commercial	1	yes	no	2019/12/Sugarcane-Featured.jpg	2019/12/Sugarcane-Featured.jpg	no	1200	800	no		436	no	
488	mint-kitchen-restaurant	443	commercial	2	no	no	2019/12/Mint-Featured-2-scaled.jpg	2019/12/Mint-Featured-2.jpg	yes	2048	1366	no		443	no	
492	kat-theo	491	commercial	2	no	no	2019/12/Kat-Theo-Featured.jpg	2019/12/Kat-Theo-Featured.jpg	no	2048	1121	no	Screen Shot 2016-03-02 at 1.48.15 PM	491	no	
501	vivvi-daycare-tribeca	494	commercial	3	no	no	2019/12/Vivvi-Featured-5-scaled.jpg	2019/12/Vivvi-Featured-5.jpg	yes	2048	1536	no		494	no	
510	burger-lobster	509	commercial	1	no	no	2019/12/Burger-Lobster-Featured.jpg	2019/12/Burger-Lobster-Featured.jpg	no	1200	800	no		509	no	
514	momofuku-ko	512	commercial	1	yes	no	2019/12/Momofuku-Featured.jpg	2019/12/Momofuku-Featured.jpg	no	1500	1000	no		512	no	
521	tribeca-loft	520	residential	1	yes	no	2019/12/Tribeca-Loft-Featured-scaled.jpg	2019/12/Tribeca-Loft-Featured.jpg	yes	1920	2560	no		520	no	
528	1st-ave-apt	527	residential	1	yes	no	2019/12/Murray-Hill-Featured.jpg	2019/12/Murray-Hill-Featured.jpg	no	1200	870	no		527	no	
