ID	Order	Title	ID	Location	Size (Sq. Ft)	Role	Worksheet Role	Designed By	Worksheet Designed By	Architecture by	Worksheet Architecture	Categories	Permalink	Image Featured	Slug
439	1	Boqueria Restaurant	439	Midtown	10500	General Contractor	#N/A	Studio Razavi	#N/A		#N/A	Commercial	https://www.streamlineusa.com/commercial/boqueria-restaurant/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Featured-1-scaled.jpg	boqueria-restaurant
552	1	Duane Street Penthouse	552	Tribeca	4000	General Contractor	#N/A	Dean Winters and Diana Gomez	#N/A	SWA Architecture	#N/A	Residential	https://www.streamlineusa.com/residential/duane-street-penthouse/	http://www.streamlineusa.com/wp-content/uploads/2019/12/20210310_129DuaneSt-3975-2-scaled.jpg	duane-street-penthouse
436	2	Sugarcane Raw Bar And Grill	436	Brooklyn	12500	General Contractor + Millwork	#N/A	CetraRuddy Design	#N/A	Lawrence Jones Architecture	#N/A	Commercial	https://www.streamlineusa.com/commercial/sugar-cane-raw-bar-and-grill/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Sugarcane-Featured.jpg	sugar-cane-raw-bar-and-grill
2306	2	e64th St Townhouse	2306	Lenox Hill	3800	General Contractor	#N/A	Virginia Tupker Interiors	#N/A	MZA Architecture	#N/A	Residential	https://www.streamlineusa.com/residential/e64-st-townhouse/	http://www.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3022.jpg	e64-st-townhouse
433	3	Grand Ole Opry City Stage	433	Times Square	22000	Construction Manager	#N/A	SWA Architecture, Morris Nathanson Interior Design	#N/A		#N/A	Commercial	https://www.streamlineusa.com/commercial/grand-ole-opry-city-stage/	http://www.streamlineusa.com/wp-content/uploads/2019/12/OPRY1.jpg	grand-ole-opry-city-stage
570	3	69th St Townhouse	570	Upper West Side	6000	General Contractor + Millwork	#N/A	Fury Design	#N/A		#N/A	Residential	https://www.streamlineusa.com/residential/69th-st-townhouse/	http://www.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_021-scaled.jpg	69th-st-townhouse
506	4	Spring Studios, Spring Place	506	Tribeca	15000	General Contractor	#N/A	Bluarch Architecture and Design	#N/A		#N/A	Commercial	https://www.streamlineusa.com/commercial/spring-studios-spring-place/	http://www.streamlineusa.com/wp-content/uploads/2019/12/SP2020_3.png	spring-studios-spring-place
531	4	St. Lukes Place townhouse	531	West Village	5500	General Contractor	General Contractor	Barlis Wedlick	Barlis Wedlick	Barlis Wedlick	Barlis Wedlick	Residential	https://www.streamlineusa.com/residential/st-lukes-place-townhouse/	http://www.streamlineusa.com/wp-content/uploads/2019/12/1-1.jpg	st-lukes-place-townhouse
517	5	Hudson Street Penthouse	517	Tribeca	3500	Millwork + Finishes	#N/A	Alex may	#N/A		#N/A	Residential	https://www.streamlineusa.com/residential/hudson-street-penthouse/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Hudson-Featured-1.jpg	hudson-street-penthouse
555	5	Indeed Corporate Office Suite	555	Midtown	36000	Carpentry + Millwork	#N/A	Indeed corporate	#N/A		#N/A	Commercial	https://www.streamlineusa.com/commercial/indeed-corporate-office-suite/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Indeed-Updated-Featured.jpg	indeed-corporate-office-suite
