Wordpress ID	Sort Order	Title	Location	Size (Sq. Ft)	Role	Designed By	Architecture by	Category	Sub-Category / Filter	Link
439	1	Boqueria Restaurant	Midtown	10500	General Contractor	Studio Razavi	Bill White	Commercial	Restaurant	https://www.streamlineusa.com/commercial/boqueria-restaurant/
552	1	Duane Street Penthouse	Tribeca	4000	General Contractor	Dean Winters and Diana Gomez	SWA Architecture	Residential		https://www.streamlineusa.com/residential/duane-street-penthouse/
	1	Bad Roman 10 Columbus Mall	Upper West Side	12500	General Contractor	Michael Stillman	GRT Architects LLP	Commercial		
436	2	Sugarcane Raw Bar And Grill	Brooklyn	12500	General Contractor + Millwork	CetraRuddy Design	Lawrence Jones Architecture	Commercial	Restaurant	https://www.streamlineusa.com/commercial/sugar-cane-raw-bar-and-grill/
2306	2	e64th St Townhouse	Lenox Hill	3800	General Contractor	Virginia Tupker Interiors	MZA Architecture	Residential		https://www.streamlineusa.com/residential/e64-st-townhouse/
433	3	Grand Ole Opry City Stage	Times Square	22000	Construction Manager	Morris Nathanson Interior Design	SWA architecture	Commercial		https://www.streamlineusa.com/commercial/grand-ole-opry-city-stage/
570	3	69th St Townhouse	Upper West Side	6000	General Contractor + Millwork	Fury Design	Adi Gershoni	Residential		https://www.streamlineusa.com/residential/69th-st-townhouse/
	3	700 Park Ave	Upper East Side	2100	General Contractor	Griffin Design Studios Jorge Porta	Griffin Design Studios Jorge Porta	Residential		Need copy, images are too low res. you can tell by the featured photo
506	4	Spring Studios, Spring Place	Tribeca	15000	General Contractor	Bluarch Design	Antonio DiOronzo	Commercial		https://www.streamlineusa.com/commercial/spring-studios-spring-place/
531	4	St. Lukes Place townhouse	West Village	5500	General Contractor	Barlis Wedlick	Barlis Wedlick	Residential		https://www.streamlineusa.com/residential/st-lukes-place-townhouse/
	4	Ketchy Shubby	Soho	7500	General Contractor	Dimitri Hyacinthe Interiors	RIP Consulting Steve Salveson	Commercial		
517	5	Hudson Street Penthouse	Tribeca	3500	Millwork + Finishes	Alex May	212Box Architecture	Residential		https://www.streamlineusa.com/residential/hudson-street-penthouse/
555	5	Indeed Corporate Office Suite	Midtown	36000	Carpentry + Millwork	Indeed corporate		Commercial		https://www.streamlineusa.com/commercial/indeed-corporate-office-suite/
	5	Momofuku noodle 171 1st ave	East Side	4200	General Contractor	Richard Lewis	Richard Lewis	Commercial	Restaurant	Need copy
561	6	KITH	NoHo	7500	General Contractor	Snarkitecture	Snarkitecture	Commercial	Retail	https://www.streamlineusa.com/commercial/kith/
2842	6	Riverside Drive Apartment	Morningside Heights	2900	General Contractor	Samantha Orley Interiors	MZA Architecture	Residential		https://www.streamlineusa.com/residential/riverside-drive-apartment/
546	7	Versa at the Marriott Renaissance	Herald Square	18000	Construction Manager	Celano Design	SRAA architecture	Commercial		https://www.streamlineusa.com/commercial/versa-marriott/
2847	7	WARREN ST APT	Tribeca	2600	General Contractor	Current Interiors	Michael Tower Architecture	Residential		https://www.streamlineusa.com/residential/warren-st-apt/
new photos coming	7	40 e66th st	Upper East Side	2200	General Contractor	Cetra Ruddy	Cetra Ruddy	Residential		Need pics and copy
491	8	Kat & Theo	Flatiron District	2300	General Contractor + Millwork	Aviva Collective	Claudia Pinto	Commercial		https://www.streamlineusa.com/commercial/kat-theo/
2504	8	12th st townhouse	Greenwich Village	7000	Carpentry Millwork + Finishes	Elisabeth de Kergorlay	Jacobson Sonoba	Residential		https://www.streamlineusa.com/residential/12th-st-townhouse-greenwich-village/
509	9	Burger & Lobster	Bryant Park	8500	General Contractor + Millwork	MZA Architecture	Design LSM	Commercial	Restaurant	https://www.streamlineusa.com/commercial/burger-lobster/
567	9	Horatio St. Townhouse	Meat Packing District	3200	General Contractor + Millwork	Tersigni Palachek Design	David Bae Architect	Residential		https://www.streamlineusa.com/residential/horatio-st-townhouse/
512	10	Momofuku KO	Bowery	4500	General Contractor	Richard Lewis design	Richard Lewis Architecture	Commercial	Restaurant	https://www.streamlineusa.com/commercial/momofuku-ko/
1835	10	Lexington Ave Townhouse	Upper East Side	4500	General Contractor	Salvatore LaRosa	B5 Studio Architects	Residential		https://www.streamlineusa.com/residential/lexington-ave-townhouse/
537	11	West 23rd St. Townhouse	Chelsea	2200	General Contractor + Millwork	Tersigni Palachek Design	Tersigni Palachek Design	Residential		https://www.streamlineusa.com/residential/west-23rd-townhouse-2/
549	11	Gunter-Seeger	West Village	3300	General Contractor + Millwork	AWI Interiors	MZA Architecture	Commercial		https://www.streamlineusa.com/commercial/gunter-seeger/
2850	12	Hudson Yards Mall	Hudson Yards	3500	General Contractor	Jack Mazzolla		Commercial		https://www.streamlineusa.com/commercial/hudson-yards-mall/
2860	12	Wyckoff Townhouse	Boerum Hill	4500	General Contractor	Current Interiors	Rachel Kane & Xandro Aventajado	Residential		https://www.streamlineusa.com/residential/wyckoff-townhouse/
443	13	Mint Kitchen Restaurant	West Village	4000	General Contractor	Creme	MZA Architecture	Commercial		https://www.streamlineusa.com/commercial/mint-kitchen-restaurant/
523	13	Madison Ave Duplex	Murray Hill	3400	General Contractor + Millwork	Lynch Eisinger Design	Christian Lynch	Residential		https://www.streamlineusa.com/residential/madison-ave-duplex-2/
494	14	ViVVI Daycare Tribeca	Tribeca	10000	General Contractor	Eleven of Eleven architecture	Carol Gretter	Commercial	Office (mixed use)	https://www.streamlineusa.com/commercial/vivvi-daycare-tribeca/
520	14	Tribeca Loft	Tribeca	2500	Millwork + Finishes	Bore		Residential		https://www.streamlineusa.com/residential/tribeca-loft/
540	15	e63rd st Penthouse	Lenox Hill	1700	General Contractor + Millwork	Jennifer Aderholdt Design	SWA Architecture	Residential		https://www.streamlineusa.com/residential/e63-st-penthouse/
2853	15	Vivvi Daycare Hudson Yards	Hudson Yards	7500	General Contractor	Eleven of Eleven design	Carol Gretter Elven of Eleven architecture	Commercial	Office (mixed use)	https://www.streamlineusa.com/commercial/vivvi-daycare-hudson-yards/
2396	16	84th st townhouse	Jackson Heights	2200	General Contractor	Nathalie Akiya Design	SWA Architecture	Residential		https://www.streamlineusa.com/residential/84th-st-townhouse/
2520	16	Haus Nightclub	Lower Manhattan	5500	General Contractor	John Rawlins Design	SWA Architecture	Commercial		https://www.streamlineusa.com/commercial/haus-nightclub/
1907	17	Sullivan St duplex	SOHO	6000	Millwork + Finishes	Butter and Eggs Design	Michael Tower Architecture	Residential		https://www.streamlineusa.com/residential/sullivan-st-duplex-2/
