id	Correct ID	Order of apperance	Title	Project Gallery	Location	Size (Sq. Ft)	Role	Designed By	Architecture by	Categories	Permalink	Image Featured
2425	#REF!	8	12th st townhouse	http://www.staging3.streamlineusa.com/wp-content/uploads/2020/07/5th-Ave-9496-copy.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2020/07/5th-Ave-9495-copy.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2020/07/5th-Ave-9494-copy.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2020/07/5th-Ave-9493-copy.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2020/07/5th-Ave-9492-copy.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2020/07/5th-Ave-9491-copy.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2020/07/5th-Ave-9490-copy.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2020/07/5th-Ave-9488-copy.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2020/07/5th-Ave-9485-copy.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2020/07/5th-Ave-9483-copy.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2020/07/5th-Ave-9481-copy.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2020/07/5th-Ave-Featured-copy.jpg	Greenwich Village	7000	Carpentry Millwork + Finishes	Elisabeth de Kergorlay		Residential	https://www.staging8.streamlineusa.com/residential/5th-avenue-townhouse/	https://www.staging8.streamlineusa.com/wp-content/uploads/2020/07/5th-Ave-Featured-copy.jpg
558	#REF!	21	1st ave apartment	http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/Murray-Hill-Featured.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/MURRAYHILL1.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/MURRAYHILL2.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/MURRAYHILL4.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/MURRAYHILL3.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/MURRAYHILL5.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/MURRAYHILL7.jpg	Murray Hill	2000	General Contractor + Millwork	SWA Architecture		Residential	https://www.staging8.streamlineusa.com/residential/murray-hill-apartments/	https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Murray-Hill-Featured.jpg
527	#REF!	19	53rd st studio	http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3619.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3624.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3629.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3634.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3639.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3659.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3664.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3669.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3674.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3679.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3684.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3699.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3704.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3709.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3719.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3724.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3739.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3752.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3772.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3776.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3781.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3786.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3791.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Residential-_-215-Madision-_-Residence-3.425x3-1.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Residential-_-215-Madision-_-Residence-3.425x3.jpg	Hell's Kitchen	750	General Contractor	LDN interiors		Residential	https://www.staging8.streamlineusa.com/residential/hells-kitchen-apt/	https://www.staging8.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3669.jpg
1835	#REF!	3	69th st townhouse	http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_10retouched1-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_051-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_041-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_071-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_021-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_091-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_031-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_081-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_061-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_11retouched1-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_011-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/UWS_TOWNHOUSE4.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/UWS_TOWNHOUSE6.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/UWS_TOWNHOUSE1.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/UWS_TOWNHOUSE7-1.jpg	Upper West Side	6000	General Contractor + Millwork	Fury Design		Residential	https://www.staging8.streamlineusa.com/residential/upper-west-side-townhouse/	https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/BlackHenselNYC_021-scaled.jpg
2409	#REF!	16	84th st Townhouse	http://www.staging3.streamlineusa.com/wp-content/uploads/2020/05/Jackson-Heights-Featured.png|http://www.staging3.streamlineusa.com/wp-content/uploads/2020/05/IMG_0457.png|http://www.staging3.streamlineusa.com/wp-content/uploads/2020/05/IMG_0458.png|http://www.staging3.streamlineusa.com/wp-content/uploads/2020/05/IMG_0449.png|http://www.staging3.streamlineusa.com/wp-content/uploads/2020/05/IMG_0462.png|http://www.staging3.streamlineusa.com/wp-content/uploads/2020/05/IMG_0448.png|http://www.staging3.streamlineusa.com/wp-content/uploads/2020/05/IMG_0450.png|http://www.staging3.streamlineusa.com/wp-content/uploads/2020/05/IMG_0452.png|http://www.staging3.streamlineusa.com/wp-content/uploads/2020/05/IMG_0455.png	Jackson Heights	2200	General Contractor	Nathalie Akiya Design	SWA Architecture	Residential	https://www.staging8.streamlineusa.com/residential/jackson-heights-townhouse/	https://www.staging8.streamlineusa.com/wp-content/uploads/2020/05/Jackson-Heights-Featured.png
2520	#REF!	24	Atrium Corporate Office	http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/Streamline-USA-Atrium-5.65x4.11-1.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/Streamline-USA-Atrium-3.69x1.91-1.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/Streamline-USA-Atrium-1.71x1.90-1.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/Streamline-USA-Atrium-8.0x2.25.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/Streamline-USA-Atrium-1.71x1.91-1.jpg	NoHo	5000	General Contractor + Millwork	Sam Ben avraham	Bang 3 Design	Commercial	https://www.staging8.streamlineusa.com/commercial/atrium-corporate-office/	https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Streamline-USA-Atrium-5.65x4.11.jpg
439	#REF!	1	Boqueria Restaurant	http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/Featured-1-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/Boqueria_West40_0518_LizClayman_210-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/Boqueria_West40_0518_LizClayman_211-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/Boqueria_West40_0518_LizClayman_212-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/Boqueria_West40_0518_LizClayman_197-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/Boqueria_West40_0518_LizClayman_203-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/Boqueria_West40_0518_LizClayman_206-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/Boqueria_West40_0518_LizClayman_209-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/Boqueria_West40_0518_LizClayman_003-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/Boqueria_West40_0518_LizClayman_128-1-scaled.jpg	Midtown	10500	General Contractor	Studio Razavi		Commercial	https://www.staging8.streamlineusa.com/commercial/boqueria-restaurant/	https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Featured-1-scaled.jpg
509	#REF!	9	Burger & Lobster	http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/Burger-Lobster-Featured.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/BURGERLOBSTER6.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/BURGERLOBSTER2.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/BURGERLOBSTER7.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/BURGERLOBSTER3.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/BURGERLOBSTER5.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/BURGERLOBSTER4.jpg	Bryant Park	8500	General Contractor + Millwork	MZA Architecture		Commercial	https://www.staging8.streamlineusa.com/commercial/burger-lobster/	https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/BURGERLOBSTER3.jpg
552	#REF!	1	Duane Street Penthouse	http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_129DuaneSt-3830-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_129DuaneSt-3975-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_129DuaneSt-3990-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20210310_129DuaneSt-3995-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20211021_129DuaneSt-8020-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20211021_129DuaneSt-8035-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20211021_129DuaneSt-8040-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20211021_129DuaneSt-8080-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20211021_129DuaneSt-8110-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20211021_129DuaneSt-8120-scaled.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2022/02/20211021_129DuaneSt-8159-scaled.jpg	Tribeca	4000	General Contractor	Dean Winters and Diana Gomez	SWA Architecture	Residential	https://www.staging8.streamlineusa.com/residential/duane-street-penthouse/	https://www.staging8.streamlineusa.com/wp-content/uploads/2022/02/20211021_129DuaneSt-8110-scaled.jpg
2345	#REF!	15	e63rd st Penthouse	http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/Upper-East-Side-Penthouse-Featured.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/Upper-East-Side-Penthouse-1.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/Upper-East-Side-Penthouse-2.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/Upper-East-Side-Penthouse-5.jpg|http://www.staging3.streamlineusa.com/wp-content/uploads/2019/12/Upper-East-Side-Penthouse-4.jpg	Lenox Hill	1700	General Contractor + Millwork	Jennifer Aderholdt Design	SWA Architecture	Residential	https://www.staging8.streamlineusa.com/residential/upper-east-side-penthouse/	https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Upper-East-Side-Penthouse-Featured.jpg
