Role		Category	Sub-Category
General Contractor		Residential	Townhouses
General Contractor + Millwork		Residential	Penthouses
Construction Manager		Residential	Full-Floor & Duplexes
Construction Consultant		Residential	Apartments & Lofts
Carpentry + Millwork		Residential	Historic Renovations
Carpentry + Finishes		Commercial	Restaurants & Bars
Millwork + Finishes		Commercial	Nightlife & Events
Carpentry Millwork + Finishes		Commercial	Retail & Showrooms
		Commercial	Corporate Offices
		Commercial	Institutional & Community
