RANGE: 2 - 62											
WP ID	Sort Order	Title	Location	Size \n(Sq. Ft)	Role	Designed By	Architecture By	Category	Sub-Category	Link	Notes
			Midtown		General Contractor	Studio Razavi	Bill White				
			Brooklyn		General Contractor + Millwork	CetraRuddy Design	Lawrence Jones Architecture				
			Times Square		Construction Manager	Morris Nathanson Interior Design	SWA Architecture				
			Tribeca		Carpentry + Millwork	Bluarch Design	Antonio DiOronzo				
			NoHo		Carpentry + Finishes	Indeed Corporate					
			Herald Square		Millwork + Finishes	Snarkitecture	Snarkitecture				
			Flatiron District		Carpentry Millwork + Finishes	Celano Design	SRAA Architecture				
			Bryant Park		Construction Consultant	Aviva Collective	Claudia Pinto				
			Bowery			MZA Architecture	Design LSM				
			West Village			Richard Lewis Design	Richard Lewis Architecture				
			Hudson Yards			AWI Interiors	MZA Architecture				
			Lower Manhattan			Jack Mazzolla	Carol Gretter				
			SoHo			Creme	Carol Gretter / Eleven of Eleven				
			Chelsea			Eleven of Eleven Architecture	Studio Stigsby				
			Meatpacking District			Eleven of Eleven Design	Walter Scott Architecture				
			Murray Hill			John Rawlins Design	David Levy Architecture				
			Upper West Side			Treehouse Designs	Atelier New York				
			East Village			Burdifilek	Daniel O'Connor Architects				
			Lenox Hill			VJ Moscaritola	Bang 3 Design				
			Morningside Heights			Samer Jaber	GRT Architects LLP				
			Greenwich Village			David Levy Design	RIP Consulting / Steve Salveson				
			Upper East Side			Colin Fuda	Richard Lewis				
			Boerum Hill			Daniel O'Connor Architects	Adi Gershoni				
			Jackson Heights			Sam Ben Avraham	Barlis Wedlick				
			Hell's Kitchen			Michael Stillman	212Box Architecture				
			Wainscott, East Hampton			Dimitri Hyacinthe Interiors	Michael Tower Architecture				
						Richard Lewis	Jacobson Sonoba				
						Dean Winters & Diana Gomez	David Bae Architect				
						Virginia Tupker Interiors	B5 Studio Architects				
						Fury Design	Tersigni Palachek Design				
						Barlis Wedlick	Rachel Kane & Xandro Aventajado				
						Alex May	Christian Lynch				
						Samantha Orley Interiors	Lynh Nguyen				
						Current Interiors	Built In Studios				
						Elisabeth de Kergorlay	Griffin Design Studios / Jorge Porta				
						Tersigni Palachek Design	Cetra Ruddy				
						Salvatore LaRosa					
						Lynch Eisinger Design					
						Bore					
						Jennifer Aderholdt Design					
						Nathalie Akiya Design					
						Butter and Eggs Design					
						Yael and Ori Morag					
						LDN Interiors					
						Efrain Perez					
						Lua Scremin					
						Matthew Weiner					
						Holly Jonsson Design					
						Built In Studios					
						Griffin Design Studios / Jorge Porta					
						Cetra Ruddy					
