ID,Title,Date,Permalink,"Image Featured",Categories,Order,"Project Gallery",Location,Description,"Size (Sq. Ft)",Role,"Designed By","Architecture by"
433,"Grand Ole Opry City Stage","2019-12-09 02:43:58",https://www.staging8.streamlineusa.com/commercial/grand-ole-opry-city-stage/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/OPRY1.jpg,Commercial,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/OPRY1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/OPRY5.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/OPRY10.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/OPRY11.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/OPRY2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/OPRY3.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/OPRY4.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/OPRY6.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/OPRY7.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/OPRY8.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/OPRY9.jpg,"Times Square","Our mission was to create a city stage sister venue to the biggest named country music stage in the world located in Nashville. Challenges: Bringing to life the same excitement in a new state of the art technical venue. To work on Broadway in Times Square with logistical issues that are physically unmatched. Manning the job with hundreds of men to run at a fast paced schedule. Working in conjunction with teams of specialists in another state, while coordinating activity on the site daily. Streamline's role for this project was Construction Manager.",22000,"Construction Manager","SWA Architecture, Morris Nathanson Interior Design",
436,"Sugarcane Raw Bar And Grill","2019-12-09 02:45:35",https://www.staging8.streamlineusa.com/commercial/sugar-cane-raw-bar-and-grill/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Sugarcane-Featured.jpg,Commercial,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Sugarcane-Featured.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SUGARCANE1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SUGARCANE2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SUGARCANE3.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SUGARCANE4.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SUGARCANE8.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SUGARCANE9.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SUGARCANE7.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SUGARCANE6.jpg,Brooklyn,"We transformed a historic rustic empty space in one of the oldest buildings standing in America, to a five star restaurant directly under the Brooklyn Bridge. Challenges: Create four full service bar locations featuring an over-sized open kitchen. Rustic metal and reclaimed wood finishes set the tone to capture the original concept of the building. Used the original iron gates to preserve the integrity of the space. Flawlessly executing the project’s scope and tight timelines; challenged by a host of logistical hurdles due to working in one of New York City’s busiest commercial districts. Streamline's role was GC, and we self performed the millwork.",12500,"General Contractor + Millwork","CetraRuddy Design","Lawrence Jones Architecture"
439,"Boqueria Restaurant","2019-12-09 02:48:36",https://www.staging8.streamlineusa.com/commercial/boqueria-restaurant/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Featured-1-scaled.jpg,Commercial,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Featured-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Boqueria_West40_0518_LizClayman_212-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Boqueria_West40_0518_LizClayman_210-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Boqueria_West40_0518_LizClayman_211-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Boqueria_West40_0518_LizClayman_197-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Boqueria_West40_0518_LizClayman_203-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Boqueria_West40_0518_LizClayman_206-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Boqueria_West40_0518_LizClayman_209-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Boqueria_West40_0518_LizClayman_128-1-scaled.jpg,Midtown,"A flagship restaurant in a brand new out of the ground AC Marriott hotel in Times Square. This 5-star restaurant was built in a new hotel that was being developed in tandem. We coordinated with the building's GC during construction and installation of the glass curtain wall storefront. Streamline was the General Contractor for this project.",10500,"General Contractor","Studio Razavi",
443,"Mint Kitchen Restaurant","2019-12-09 02:54:58",https://www.staging8.streamlineusa.com/commercial/mint-kitchen-restaurant-2/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-11-scaled.jpg,Commercial,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-11-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Mint-Featured-2-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-3-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-8-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-6-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-12-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-7-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-13-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-2-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-9-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-16-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-11-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-18-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-8-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-9-2-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-17-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-5-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-16-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-7-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-14-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-4-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-19-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-13-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-20-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-6-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Mint-Featured-3-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Creme_Mint-Kitchen_HR-15-1-scaled.jpg,"West Village","A 4,000 sq ft gut renovation of an existing restaurant on University Place. New storefront, taboo oven and stadium seating along with lots of custom millwork. We worked in a building with time constraints and neighbors in close proximity. Building under a very tight timeline requires many look aheads to not miss the deadline. Streamline was the General Contractor for this project.",4000,,Creme,"MZA Architecture"
491,"Kat & Theo","2019-12-09 02:56:22",https://www.staging8.streamlineusa.com/commercial/kat-theo/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Screen-Shot-2016-03-02-at-1.48.15-PM.jpg,Commercial,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Screen-Shot-2016-03-02-at-1.48.15-PM.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Kat-Theo-Featured.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Hospitality-_-2-W21-_-KatTheo-3.125x3-2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Hospitality-_-2-W21-_-KatTheo-3.125x3-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SL-_-Hospitality-_-2-W21-_-KatTheo-8.175x3.65.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Screen-Shot-2016-03-02-at-1.48.10-PM.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Screen-Shot-2016-03-02-at-1.48.02-PM.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Screen-Shot-2016-03-02-at-1.48.46-PM-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Screen-Shot-2016-03-02-at-1.48.52-PM.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Screen-Shot-2016-03-02-at-1.48.29-PM.jpg,"Flatiron District","Executive Chef Paras Shah’s fine-dining restaurant debut in the Flatiron District, where the ambiance needed to be cozy and social. Challenges: Preserve delicate existing brick work, highly-detailed coffered ceilings made with reclaimed lumber and extensive custom decorative metal work, integrating the kitchen and it’s mechanical requirements within the space to enhance the atmosphere without being distracting. Gained expertise through the restoration of delicate, century-old brick wall as well as sourcing, fabricating, and installing custom millwork using reclaimed lumber. Streamline's role was GC, and we self performed the millwork.",2300,"General Contractor + Millwork","Aviva Collective",
494,"ViVVI Daycare","2019-12-09 03:01:46",https://www.staging8.streamlineusa.com/commercial/vivvi-daycare-tribeca/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/11OF11-VIVVI-F.OUDEMAN11-scaled.jpg,Commercial,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/11OF11-VIVVI-F.OUDEMAN11-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/11OF11-VIVVI-F.OUDEMAN┬⌐-03-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Vivvi-Featured-5-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Vivvi-2-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Vivvi-6-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/11OF11-VIVVI-F.OUDEMAN09-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Vivvi-7-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Vivvi-8-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/11OF11-VIVVI-F.OUDEMAN10-3-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Vivvi-5-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Vivvi-2-2-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/11OF11-VIVVI-F.OUDEMAN12-2-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/11OF11-VIVVI-F.OUDEMAN┬⌐-13-2-scaled.jpg,Tribeca,"10k sq ft state of the art Day Care center for the Tribeca neighborhood at Hudson Square. Challenges: Working within the building systems, rules and regulations throughout the course of the project. We had a fast paced schedule that proved to be doable, meeting the spring season opening date. Streamline was the General Contractor for this project.",10000,"General Contractor","eleven of eleven architecture",
503,"Free People Retail Store","2019-12-09 03:03:03",https://www.staging8.streamlineusa.com/commercial/free-people-retail-store/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Free-People-Updated-Featured.jpg,Commercial,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Free-People-by-Streamline-USA-3.69x4.36.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Free-People-by-Streamline-USA-1.71x2.19-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Free-People-by-Streamline-USA-2.1x3.71-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Free-People-by-Streamline-USA-1.71x2.0.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Free-People-by-Streamline-USA-5.65x4.11-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/IMG_3444-scaled.jpg,"Meatpacking District","A 7,000 sq ft gut renovation of a part of the old homestead steakhouse on 9th ave in meatpacking district. New staircase and elevator. We had to convert an old Homestead Steakhouse landmark building into a custom retail operation. Working on one of the busiest streets in the city was one of our challenges. Streamline performed the carpentry and finishes for this project.",7000,,"David Levy Architecture",
506,"Spring Studios, Spring Place","2019-12-09 03:04:15",https://www.staging8.streamlineusa.com/commercial/spring-studios-spring-place/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SP2020_3.png,Commercial,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Spring-Studio-Featured-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/16041_pr_springplace_5-5-1621862-3x3-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Spring-Studio.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/8.75x2.25-spring-1-scaled.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/16041_pr_springplace_5-5-1621784-3x2-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/16041_pr_springplace_5-5-1621884-3x2-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/16041_pr_springplace_5-5-1621823-3x3-1.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Streamline-USA-Spring-Studios-29-3x2-2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SP2020_3-1.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SP2020_2.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SP2020_3.png|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/SP2020_1.jpeg,Tribeca,"Our mission was to create an open, multifunctional, modern, and exclusive catering and event space for high profile events such as Fashion Week. Extensive hand-worked concrete finishes and precision installation of custom cut over-sized metal and glass doors were some challenges we faced. Complex imported metal ceilings required precision coordination and high levels of relentless quality control management under a tight, commercially driven time frame. Working under intense timelines can complicate the schedule. We had to work 3 shifts a day to execute the project correctly. Streamline was the General Contractor for this project.",15000,"General Contractor","Bluarch Architecture and Design",
509,"Burger & Lobster","2019-12-09 03:05:40",https://www.staging8.streamlineusa.com/commercial/burger-lobster/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/BURGERLOBSTER3.jpg,Commercial,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Burger-Lobster-Featured.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/BURGERLOBSTER6.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/BURGERLOBSTER2.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/BURGERLOBSTER7.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/BURGERLOBSTER3.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/BURGERLOBSTER5.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/BURGERLOBSTER4.jpg,"Bryant Park","The client wanted us to bring an existing unusable space to life, and create a flagship establishment for this UK brand in NYC. Challenges: Concrete floors, ceilings, and non-existing utilities made the project a challenging build-out. Inserting an opening into the roof to add natural light by installing an over-sized skylight as well as incorporating reclaimed wood flooring material. Flawlessly executing the project’s scope and tight timelines; challenged by a host of logistical hurdles due to working in one of New York City’s busiest districts. Streamline's role was GC, and we self performed the millwork.",8500,"General Contractor + Millwork","MZA Architecture",
512,"Momofuku KO","2019-12-09 03:07:03",https://www.staging8.streamlineusa.com/commercial/momofuku-ko/,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Momofuku-Featured.jpg,Commercial,0,https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/Momofuku-Featured.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20180215_Momofuku_Ko_0173b_WEB.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20180215_Momofuku_Ko_0206_WEB.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20180215_Momofuku_Ko_0173_WEB.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20180215_Momofuku_Ko_0279_WEB.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20180215_Momofuku_Ko_0280_WEB.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20180215_Momofuku_Ko_0459_WEB.jpg|https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/20180215_Momofuku_Ko_0368_WEB.jpg,Bowery,"We added an additional floor and kitchen space while increasing the seating and table areas in a very busy location. Challenges: Working around the clock, supplying new HVAC to an existing space without disrupting business in a very limited time frame. We learned to create a new look in an extension of an existing restaurant with a good flow all while making sure the neighbors are on board with adjoining spaces. We always insured schedules can be maintained, so as not to disrupt the flow of reservations. Streamline was the General Contractor for this project.",4500,"General Contractor","Richard Lewis Architecture",
